Source Airport Code,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Destination Airport Code,Destination Airport Name,Destination Airport City,Destination Airport Country,Destination Airport Latitude,Destination Airport Longitude
LPL,Liverpool John Lennon Airport,Liverpool,United Kingdom,53.33359909,-2.849720001,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
ELP,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,HSV,Huntsville International Carl T Jones Field,Huntsville,United States,34.6371994,-86.77510071
MAN,Manchester Airport,Manchester,United Kingdom,53.35369873,-2.274950027,TIP,Tripoli International Airport,Tripoli,Libya,32.66350174,13.1590004
CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,VGO,Vigo Airport,Vigo,Spain,42.23180008,-8.62677002
VNO,Vilnius International Airport,Vilnius,Lithuania,54.634102,25.285801,VKO,Vnukovo International Airport,Moscow,Russia,55.59149933,37.26150131
YPM,Pikangikum Airport,Pikangikum,Canada,51.81969833,-93.97329712,YXL,Sioux Lookout Airport,Sioux Lookout,Canada,50.11389923,-91.90529633
ZUH,Zhuhai Jinwan Airport,Zhuhai,China,22.006399,113.375999,CKG,Chongqing Jiangbei International Airport,Chongqing,China,29.71920013,106.6419983
ADB,Adnan Menderes International Airport,Izmir,Turkey,38.29240036,27.15699959,LYS,Lyon Saint-Exupéry Airport,Lyon,France,45.725556,5.081111
FMO,Münster Osnabrück Airport,Munster,Germany,52.13460159,7.684830189,IBZ,Ibiza Airport,Ibiza,Spain,38.8728981,1.37311995
STL,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003,PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253
NVK,Narvik Framnes Airport,Narvik,Norway,68.43689728,17.38669968,BOO,Bodø Airport,Bodo,Norway,67.26920319,14.36530018
XIY,Xi'an Xianyang International Airport,Xi'an,China,34.447102,108.751999,CKG,Chongqing Jiangbei International Airport,Chongqing,China,29.71920013,106.6419983
YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.67720032,-79.63059998,DUB,Dublin Airport,Dublin,Ireland,53.421299,-6.27007
IKT,Irkutsk Airport,Irkutsk,Russia,52.26800156,104.3889999,BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016
BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016,USM,Samui Airport,Ko Samui,Thailand,9.547789574,100.0619965
CGO,Zhengzhou Xinzheng International Airport,Zhengzhou,China,34.5196991,113.8410034,SHE,Taoxian Airport,Shenyang,China,41.63980103,123.4830017
DAY,James M Cox Dayton International Airport,Dayton,United States,39.90240097,-84.2193985,MCO,Orlando International Airport,Orlando,United States,28.42939949,-81.30899811
CGY,Laguindingan Airport,Cagayan de Oro City,Philippines,8.612203,124.456496,BCD,Bacolod-Silay Airport,Bacolod,Philippines,10.7764,123.014999
GOI,Dabolim Airport,Goa,India,15.38080025,73.83139801,BLR,Kempegowda International Airport,Bangalore,India,13.1979,77.706299
LTN,London Luton Airport,London,United Kingdom,51.87469864,-0.368333012,INV,Inverness Airport,Inverness,United Kingdom,57.54249954,-4.047500134
KWI,Kuwait International Airport,Kuwait,Kuwait,29.22660065,47.96889877,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389
DBO,Dubbo City Regional Airport,Dubbo,Australia,-32.21670151,148.5749969,BHQ,Broken Hill Airport,Broken Hill,Australia,-32.00139999,141.4720001
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,25.0777,121.233002,NGO,Chubu Centrair International Airport,Nagoya,Japan,34.85839844,136.8049927
MXP,Malpensa International Airport,Milano,Italy,45.6306,8.72811,MRU,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,-20.430201,57.683601
AZA,Phoenix-Mesa-Gateway Airport,Mesa,United States,33.30780029,-111.6549988,IDA,Idaho Falls Regional Airport,Idaho Falls,United States,43.514599,-112.070999
XIY,Xi'an Xianyang International Airport,Xi'an,China,34.447102,108.751999,URC,Ürümqi Diwopu International Airport,Urumqi,China,43.90710068,87.47419739
TXL,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,LUX,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233333,6.2044444
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.21239853,-83.35340118
LWS,Lewiston Nez Perce County Airport,Lewiston,United States,46.37450027,-117.0149994,SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874,-111.9779968
PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,ICT,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098
BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,MUC,Munich Airport,Munich,Germany,48.353802,11.7861
PEK,Beijing Capital International Airport,Beijing,China,40.08010101,116.5849991,HFE,Hefei Luogang International Airport,Hefei,China,31.78000069,117.2979965
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,PRG,Václav Havel Airport Prague,Prague,Czech Republic,50.1008,14.26
BZV,Maya-Maya Airport,Brazzaville,Congo (Brazzaville),-4.251699924,15.25300026,FIH,Ndjili International Airport,Kinshasa,Congo (Kinshasa),-4.38575,15.4446
CKH,Chokurdakh Airport,Chokurdah,Russia,70.62310028,147.9019928,YKS,Yakutsk Airport,Yakutsk,Russia,62.09329987,129.7709961
DAR,Julius Nyerere International Airport,Dar Es Salaam,Tanzania,-6.87811,39.202599,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.319239974,36.92779922
LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.319239974,36.92779922
LIS,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,38.7813,-9.13592,EDI,Edinburgh Airport,Edinburgh,United Kingdom,55.95000076,-3.372499943
DUB,Dublin Airport,Dublin,Ireland,53.421299,-6.27007,ALC,Alicante International Airport,Alicante,Spain,38.28219986,-0.558156013
NNG,Nanning Wuxu Airport,Nanning,China,22.60829926,108.1719971,SHA,Shanghai Hongqiao International Airport,Shanghai,China,31.19790077,121.3359985
RUH,King Khaled International Airport,Riyadh,Saudi Arabia,24.95759964,46.69879913,DMM,King Fahd International Airport,Dammam,Saudi Arabia,26.47120094,49.79790115
MDW,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403,SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998
CNX,Chiang Mai International Airport,Chiang Mai,Thailand,18.76679993,98.96260071,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,30.22949982,120.4339981
VIE,Vienna International Airport,Vienna,Austria,48.11029816,16.56970024,CGN,Cologne Bonn Airport,Cologne,Germany,50.86589813,7.142739773
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,56.29610062,12.84710026,BMA,Stockholm-Bromma Airport,Stockholm,Sweden,59.35440063,17.94169998
LBJ,Komodo Airport,Labuhan Bajo,Indonesia,-8.48666,119.889,ENE,Ende (H Hasan Aroeboesman) Airport,Ende,Indonesia,-8.849289894,121.6610031
PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.55170059,2.738810062,GLA,Glasgow International Airport,Glasgow,United Kingdom,55.87189865,-4.433060169
LED,Pulkovo Airport,St. Petersburg,Russia,59.8003006,30.26250076,SKG,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,40.5196991,22.97089958
MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico,19.4363,-99.072098,IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.9843998,-95.34140015
MGA,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,12.14150047,-86.16819763,GUA,La Aurora Airport,Guatemala City,Guatemala,14.5833,-90.527496
BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,ZAG,Zagreb Airport,Zagreb,Croatia,45.74290085,16.06879997
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.17079926,-106.6999969,YEG,Edmonton International Airport,Edmonton,Canada,53.30970001,-113.5800018
JOG,Adi Sutjipto International Airport,Yogyakarta,Indonesia,-7.788179874,110.4319992,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,-1.268270016,116.8939972
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,VDZ,Valdez Pioneer Field,Valdez,United States,61.13389969,-146.2480011
FRS,Mundo Maya International Airport,Flores,Guatemala,16.91379929,-89.86640167,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,17.53910065,-88.30819702
CJU,Jeju International Airport,Cheju,South Korea,33.51129913,126.4929962,PUS,Gimhae International Airport,Busan,South Korea,35.17950058,128.9380035
LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,37.3255,-79.975403
TAI,Ta'izz International Airport,Taiz,Yemen,13.68599987,44.13909912,DMM,King Fahd International Airport,Dammam,Saudi Arabia,26.47120094,49.79790115
NNG,Nanning Wuxu Airport,Nanning,China,22.60829926,108.1719971,LJG,Lijiang Airport,Lijiang,China,26.68000031,100.2460022
HEL,Helsinki Vantaa Airport,Helsinki,Finland,60.31719971,24.9633007,VNO,Vilnius International Airport,Vilnius,Lithuania,54.634102,25.285801
PVD,Theodore Francis Green State Airport,Providence,United States,41.732601,-71.420403,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101
SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003,CTU,Chengdu Shuangliu International Airport,Chengdu,China,30.57850075,103.9469986
NRN,Weeze Airport,Weeze,Germany,51.60240173,6.142169952,PSR,Pescara International Airport,Pescara,Italy,42.431702,14.1811
HKG,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901,113.915001,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
YVR,Vancouver International Airport,Vancouver,Canada,49.19390106,-123.1839981,YPW,Powell River Airport,Powell River,Canada,49.83420181,-124.5
AKL,Auckland International Airport,Auckland,New Zealand,-37.0080986,174.7920074,DUD,Dunedin Airport,Dunedin,New Zealand,-45.92810059,170.197998
VGO,Vigo Airport,Vigo,Spain,42.23180008,-8.62677002,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264
LKO,Chaudhary Charan Singh International Airport,Lucknow,India,26.76059914,80.88929749,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
BDO,Husein Sastranegara International Airport,Bandung,Indonesia,-6.900629997,107.5759964,SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003
SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002,ASP,Alice Springs Airport,Alice Springs,Australia,-23.80669975,133.9019928
CMN,Mohammed V International Airport,Casablanca,Morocco,33.36750031,-7.589970112,TFN,Tenerife Norte Airport,Tenerife,Spain,28.48270035,-16.34149933
CGH,Congonhas Airport,Sao Paulo,Brazil,-23.62611008,-46.65638733,IGU,Cataratas International Airport,Foz Do Iguacu,Brazil,-25.60027885,-54.48500061
SHA,Shanghai Hongqiao International Airport,Shanghai,China,31.19790077,121.3359985,HND,Tokyo Haneda International Airport,Tokyo,Japan,35.552299,139.779999
ATH,Eleftherios Venizelos International Airport,Athens,Greece,37.93640137,23.94449997,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965
ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,EWR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117
KEF,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036,EWR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117
KZN,Kazan International Airport,Kazan,Russia,55.60620117,49.27870178,EGO,Belgorod International Airport,Belgorod,Russia,50.64379883,36.59009933
CTA,Catania-Fontanarossa Airport,Catania,Italy,37.466801,15.0664,MLA,Malta International Airport,Malta,Malta,35.857498,14.4775
YFB,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801,YRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.81140137,-92.11579895
CKG,Chongqing Jiangbei International Airport,Chongqing,China,29.71920013,106.6419983,WUX,Sunan Shuofang International Airport,Wuxi,China,31.49440002,120.4290009
OMA,Eppley Airfield,Omaha,United States,41.3032,-95.894096,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001
CWB,Afonso Pena Airport,Curitiba,Brazil,-25.5284996,-49.17580032,BSB,Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,-15.86916733,-47.92083359
DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,BOM,Chhatrapati Shivaji International Airport,Mumbai,India,19.08869934,72.86789703
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,20.52179909,-103.310997,IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.9843998,-95.34140015
VNO,Vilnius International Airport,Vilnius,Lithuania,54.634102,25.285801,TLL,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,59.41329956,24.83279991
PVG,Shanghai Pudong International Airport,Shanghai,China,31.14340019,121.8050003,DLC,Zhoushuizi Airport,Dalian,China,38.96569824,121.5390015
SNN,Shannon Airport,Shannon,Ireland,52.702,-8.92482,NCE,Nice-Côte d'Azur Airport,Nice,France,43.65840149,7.215869904
CJU,Jeju International Airport,Cheju,South Korea,33.51129913,126.4929962,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901,113.915001
LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985
YYC,Calgary International Airport,Calgary,Canada,51.11389923,-114.0199966,YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.6108017,-115.7819977
AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874,-111.9779968
HNL,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002
SBA,Santa Barbara Municipal Airport,Santa Barbara,United States,34.42620087,-119.8399963,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001
LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.67720032,-79.63059998
KJA,Yemelyanovo Airport,Krasnoyarsk,Russia,56.172901,92.493301,UUD,Ulan-Ude Airport (Mukhino),Ulan-ude,Russia,51.80780029,107.4380035
QSF,Ain Arnat Airport,Setif,Algeria,36.17810059,5.32449007,ALG,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994
NNB,Santa Ana Airport,Santa Ana,Solomon Islands,-10.847994,162.454108,HIR,Honiara International Airport,Honiara,Solomon Islands,-9.42800045,160.0549927
NGO,Chubu Centrair International Airport,Nagoya,Japan,34.85839844,136.8049927,OIT,Oita Airport,Oita,Japan,33.47940063,131.7369995
SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,-6.12556982,106.6559982
WUH,Wuhan Tianhe International Airport,Wuhan,China,30.7838,114.208,TAO,Liuting Airport,Qingdao,China,36.26610184,120.3740005
LST,Launceston Airport,Launceston,Australia,-41.54529953,147.2140045,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002
PLM,Sultan Mahmud Badaruddin II Airport,Palembang,Indonesia,-2.898250103,104.6999969,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,-6.12556982,106.6559982
GLA,Glasgow International Airport,Glasgow,United Kingdom,55.87189865,-4.433060169,FAO,Faro Airport,Faro,Portugal,37.01440048,-7.965909958
MCO,Orlando International Airport,Orlando,United States,28.42939949,-81.30899811,SDF,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736
OTP,Henri Coandă International Airport,Bucharest,Romania,44.5711111,26.085,FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
ZAG,Zagreb Airport,Zagreb,Croatia,45.74290085,16.06879997,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,FUE,Fuerteventura Airport,Fuerteventura,Spain,28.45269966,-13.86380005
CAN,Guangzhou Baiyun International Airport,Guangzhou,China,23.39240074,113.2990036,URC,Ürümqi Diwopu International Airport,Urumqi,China,43.90710068,87.47419739
REP,Siem Reap International Airport,Siem-reap,Cambodia,13.41069984,103.8130035,DAD,Da Nang International Airport,Danang,Vietnam,16.04389954,108.1989975
PEK,Beijing Capital International Airport,Beijing,China,40.08010101,116.5849991,WNZ,Wenzhou Longwan International Airport,Wenzhou,China,27.912201,120.851997
NAS,Lynden Pindling International Airport,Nassau,Bahamas,25.03899956,-77.46620178,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
SFO,San Francisco International Airport,San Francisco,United States,37.61899948,-122.375,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001
DLC,Zhoushuizi Airport,Dalian,China,38.96569824,121.5390015,XIY,Xi'an Xianyang International Airport,Xi'an,China,34.447102,108.751999
EZE,Ministro Pistarini International Airport,Buenos Aires,Argentina,-34.8222,-58.5358,GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,-22.80999947,-43.25055695
UKX,Ust-Kut Airport,Ust-Kut,Russia,56.8567009,105.7300034,IKT,Irkutsk Airport,Irkutsk,Russia,52.26800156,104.3889999
LEI,Almería International Airport,Almeria,Spain,36.84389877,-2.370100021,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.55170059,2.738810062
VIG,Juan Pablo Pérez Alfonso Airport,El Vigía,Venezuela,8.624139,-71.672668,PMV,Del Caribe Santiago Mariño International Airport,Porlamar,Venezuela,10.91260338,-63.96659851
KTM,Tribhuvan International Airport,Kathmandu,Nepal,27.6966,85.3591,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901,113.915001
CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,BLR,Kempegowda International Airport,Bangalore,India,13.1979,77.706299
DME,Domodedovo International Airport,Moscow,Russia,55.40879822,37.90629959,ALC,Alicante International Airport,Alicante,Spain,38.28219986,-0.558156013
IOM,Isle of Man Airport,Isle Of Man,Isle of Man,54.08330154,-4.623889923,LGW,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico,19.4363,-99.072098
STR,Stuttgart Airport,Stuttgart,Germany,48.68989944,9.221960068,VCE,Venice Marco Polo Airport,Venice,Italy,45.505299,12.3519
GOI,Dabolim Airport,Goa,India,15.38080025,73.83139801,BOM,Chhatrapati Shivaji International Airport,Mumbai,India,19.08869934,72.86789703
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
CMN,Mohammed V International Airport,Casablanca,Morocco,33.36750031,-7.589970112,LBV,Libreville Leon M'ba International Airport,Libreville,Gabon,0.458600014,9.412280083
CAN,Guangzhou Baiyun International Airport,Guangzhou,China,23.39240074,113.2990036,XMN,Xiamen Gaoqi International Airport,Xiamen,China,24.54400063,118.1279984
MHH,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,26.5114,-77.083503,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.65469933,88.44670105,SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003
TRC,Francisco Sarabia International Airport,Torreon,Mexico,25.56830025,-103.4110031,GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,20.52179909,-103.310997
VKO,Vnukovo International Airport,Moscow,Russia,55.59149933,37.26150131,OVS,Sovetskiy Airport,Sovetskiy,Russia,61.32662201,63.60191345
FEZ,Saïss Airport,Fes,Morocco,33.9272995,-4.97796011,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846
HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,30.22949982,120.4339981,KWE,Longdongbao Airport,Guiyang,China,26.53849983,106.8010025
BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016,VTE,Wattay International Airport,Vientiane,Laos,17.98830032,102.5630035
SSA,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,-12.9086113,-38.32249832,REC,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639,-34.92359924
BRE,Bremen Airport,Bremen,Germany,53.04750061,8.786669731,DUB,Dublin Airport,Dublin,Ireland,53.421299,-6.27007
BEY,Beirut Rafic Hariri International Airport,Beirut,Lebanon,33.82089996,35.48839951,BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985
GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,57.66279984,12.27980042,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,59.65190125,17.91860008
BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,RAK,Menara Airport,Marrakech,Morocco,31.60689926,-8.036299706
MUC,Munich Airport,Munich,Germany,48.353802,11.7861,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016
ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118
CHS,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,MDW,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,GRR,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663
TFS,Tenerife South Airport,Tenerife,Spain,28.04450035,-16.57250023,KBP,Boryspil International Airport,Kiev,Ukraine,50.34500122,30.8946991
CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.61790085,12.65600014,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
NCE,Nice-Côte d'Azur Airport,Nice,France,43.65840149,7.215869904,RTM,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722
ICN,Incheon International Airport,Seoul,South Korea,37.46910095,126.4509964,DLC,Zhoushuizi Airport,Dalian,China,38.96569824,121.5390015
CGN,Cologne Bonn Airport,Cologne,Germany,50.86589813,7.142739773,CLY,Calvi-Sainte-Catherine Airport,Calvi,France,42.5244444,8.7930556
ALG,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994,MRS,Marseille Provence Airport,Marseille,France,43.43927192,5.221424103
SCO,Aktau Airport,Aktau,Kazakhstan,43.8601,51.091999,KRR,Krasnodar Pashkovsky International Airport,Krasnodar,Russia,45.03469849,39.17050171
STR,Stuttgart Airport,Stuttgart,Germany,48.68989944,9.221960068,DBV,Dubrovnik Airport,Dubrovnik,Croatia,42.56140137,18.26819992
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,20.52179909,-103.310997,SAT,San Antonio International Airport,San Antonio,United States,29.53370094,-98.46980286
SZX,Shenzhen Bao'an International Airport,Shenzhen,China,22.63929939,113.810997,KWL,Guilin Liangjiang International Airport,Guilin,China,25.21809959,110.0390015
YTY,Yangzhou Taizhou Airport,Yangzhou,China,32.5634,119.7198,SYX,Sanya Phoenix International Airport,Sanya,China,18.30290031,109.4120026
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,BKO,Modibo Keita International Airport,Bamako,Mali,12.5335,-7.94994
FUE,Fuerteventura Airport,Fuerteventura,Spain,28.45269966,-13.86380005,HAM,Hamburg Airport,Hamburg,Germany,53.63040161,9.988229752
ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,XNA,Northwest Arkansas Regional Airport,Bentonville,United States,36.281898,-94.306801
SFO,San Francisco International Airport,San Francisco,United States,37.61899948,-122.375,LIH,Lihue Airport,Lihue,United States,21.97599983,-159.3390045
LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,RIC,Richmond International Airport,Richmond,United States,37.50519943,-77.31970215
CRW,Yeager Airport,Charleston,United States,38.37310028,-81.59320068,MYR,Myrtle Beach International Airport,Myrtle Beach,United States,33.67969894,-78.92829895
DAT,Datong Airport,Datong,China,40.060299,113.482002,PVG,Shanghai Pudong International Airport,Shanghai,China,31.14340019,121.8050003
GRB,Austin Straubel International Airport,Green Bay,United States,44.48509979,-88.12960052,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
KBP,Boryspil International Airport,Kiev,Ukraine,50.34500122,30.8946991,CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,CRW,Yeager Airport,Charleston,United States,38.37310028,-81.59320068
BUR,Bob Hope Airport,Burbank,United States,34.20069885,-118.3590012,OAK,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001
DIN,Dien Bien Phu Airport,Dienbienphu,Vietnam,21.39749908,103.0080032,HAN,Noi Bai International Airport,Hanoi,Vietnam,21.22120094,105.8069992
STR,Stuttgart Airport,Stuttgart,Germany,48.68989944,9.221960068,DUB,Dublin Airport,Dublin,Ireland,53.421299,-6.27007
AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,IGR,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.737301,-54.4734
QRO,Querétaro Intercontinental Airport,Queretaro,Mexico,20.6173,-100.185997,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002
BRU,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,PMO,Falcone–Borsellino Airport,Palermo,Italy,38.175999,13.091
XMN,Xiamen Gaoqi International Airport,Xiamen,China,24.54400063,118.1279984,WUX,Sunan Shuofang International Airport,Wuxi,China,31.49440002,120.4290009
MAN,Manchester Airport,Manchester,United Kingdom,53.35369873,-2.274950027,LAS,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004
HEL,Helsinki Vantaa Airport,Helsinki,Finland,60.31719971,24.9633007,WAW,Warsaw Chopin Airport,Warsaw,Poland,52.16569901,20.96710014
DUB,Dublin Airport,Dublin,Ireland,53.421299,-6.27007,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.319239974,36.92779922
